ID,mutation_count,mean_VAF,EFFECT_2KB_upstream_variant,EFFECT_3_prime_UTR_variant,EFFECT_ITD,EFFECT_PTD,EFFECT_complex_change_in_transcript,EFFECT_frameshift_variant,EFFECT_inframe_codon_gain,EFFECT_inframe_codon_loss,EFFECT_inframe_variant,EFFECT_initiator_codon_change,EFFECT_non_synonymous_codon,EFFECT_splice_site_variant,EFFECT_stop_gained,EFFECT_stop_lost,EFFECT_stop_retained_variant,EFFECT_synonymous_codon,ABL1,ARID1A,ARID2,ASXL1,ASXL2,ATRX,BAP1,BCL10,BCOR,BCORL1,BRAF,BRCC3,CALR,CBL,CDK4,CDKN1B,CDKN2A,CDKN2B,CDKN2C,CEBPA,CHEK2,CREBBP,CSF1R,CSF3R,CSNK1A1,CTCF,CUX1,DDX23,DDX4,DDX41,DDX54,DHX33,DICER1,DNMT3A,DNMT3B,EED,EGFR,EP300,ETNK1,ETV6,EZH2,FAM175A,FLT3,GATA1,GATA2,GNAS,GNB1,H3F3A,HIPK2,IDH1,IDH2,IRF1,IRF4,IRF8,JAK2,JAK3,JARID2,KDM5C,KDM6A,KIT,KMT2C,KMT2D,KRAS,LUC7L2,MGA,MLL,MPL,MYC,NF1,NF2,NFE2,NIPBL,NOTCH1,NOTCH2,NPM1,NRAS,NXF1,PAPD5,PAX5,PHF6,PIK3CA,PPM1D,PRPF40A,PRPF8,PTEN,PTPN11,PTPRF,RAC1,RAD21,RAD50,RB1,RBBP4,ROBO1,ROBO2,RRAS,RUNX1,SAMHD1,SETBP1,SETD2,SF1,SF3B1,SH2B3,SMC1A,SMC3,SMG1,SPRED2,SRCAP,SRSF2,STAG1,STAG2,STAT3,STAT5A,SUZ12,TERT,TET2,TP53,U2AF1,U2AF2,WHSC1,WT1,ZBTB33,ZMYM3,ZNF318,ZRSR2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
P100000,6,0.30129999999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.033029545,-0.01635331,-0.047674153,0.020035177,-0.08433723,-0.07984004,0.22253294,0.24668656,-0.22303681,-0.1500188,0.024120526,-0.291333,0.21269329,0.20241131,-0.106006645,0.14286521,0.17667682,0.22685839,-0.29272902,-0.28987864,0.1064398,0.15509404,0.3690796,0.027247747,0.14528257,0.024832128,-0.05288632,0.24787967,-0.13991497,0.027579764,-0.03845741,-0.16373503,0.07611197,-0.100363106,-0.12063501,-0.02730426,0.21777539,0.02381931,0.053824056,-0.025403647,0.20743458,-0.09915427,-0.06781074,0.033860195,0.3407872,-0.047246303,-0.034436267,-0.18823074,0.08991981,0.01802417
P100001,2,0.2595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033029545,-0.01635331,-0.047674153,0.020035177,-0.08433723,-0.07984004,0.22253294,0.24668656,-0.22303681,-0.1500188,0.024120526,-0.291333,0.21269329,0.20241131,-0.106006645,0.14286521,0.17667682,0.22685839,-0.29272902,-0.28987864,0.1064398,0.15509404,0.3690796,0.027247747,0.14528257,0.024832128,-0.05288632,0.24787967,-0.13991497,0.027579764,-0.03845741,-0.16373503,0.07611197,-0.100363106,-0.12063501,-0.02730426,0.21777539,0.02381931,0.053824056,-0.025403647,0.20743458,-0.09915427,-0.06781074,0.033860195,0.3407872,-0.047246303,-0.034436267,-0.18823074,0.08991981,0.01802417
P100002,2,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.033029545,-0.01635331,-0.047674153,0.020035177,-0.08433723,-0.07984004,0.22253294,0.24668656,-0.22303681,-0.1500188,0.024120526,-0.291333,0.21269329,0.20241131,-0.106006645,0.14286521,0.17667682,0.22685839,-0.29272902,-0.28987864,0.1064398,0.15509404,0.3690796,0.027247747,0.14528257,0.024832128,-0.05288632,0.24787967,-0.13991497,0.027579764,-0.03845741,-0.16373503,0.07611197,-0.100363106,-0.12063501,-0.02730426,0.21777539,0.02381931,0.053824056,-0.025403647,0.20743458,-0.09915427,-0.06781074,0.033860195,0.3407872,-0.047246303,-0.034436267,-0.18823074,0.08991981,0.01802417
P100004,1,0.4691,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033029545,-0.01635331,-0.047674153,0.020035177,-0.08433723,-0.07984004,0.22253294,0.24668656,-0.22303681,-0.1500188,0.024120526,-0.291333,0.21269329,0.20241131,-0.106006645,0.14286521,0.17667682,0.22685839,-0.29272902,-0.28987864,0.1064398,0.15509404,0.3690796,0.027247747,0.14528257,0.024832128,-0.05288632,0.24787967,-0.13991497,0.027579764,-0.03845741,-0.16373503,0.07611197,-0.100363106,-0.12063501,-0.02730426,0.21777539,0.02381931,0.053824056,-0.025403647,0.20743458,-0.09915427,-0.06781074,0.033860195,0.3407872,-0.047246303,-0.034436267,-0.18823074,0.08991981,0.01802417
P100006,5,0.1693,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.033029545,-0.01635331,-0.047674153,0.020035177,-0.08433723,-0.07984004,0.22253294,0.24668656,-0.22303681,-0.1500188,0.024120526,-0.291333,0.21269329,0.20241131,-0.106006645,0.14286521,0.17667682,0.22685839,-0.29272902,-0.28987864,0.1064398,0.15509404,0.3690796,0.027247747,0.14528257,0.024832128,-0.05288632,0.24787967,-0.13991497,0.027579764,-0.03845741,-0.16373503,0.07611197,-0.100363106,-0.12063501,-0.02730426,0.21777539,0.02381931,0.053824056,-0.025403647,0.20743458,-0.09915427,-0.06781074,0.033860195,0.3407872,-0.047246303,-0.034436267,-0.18823074,0.08991981,0.01802417
P100007,3,0.15833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-0.009763974,-0.009413673,-0.008523686,0.011207448,-0.036516927,-0.019969836,0.09196858,0.084043935,-0.07045362,-0.0485378,0.011255406,-0.10446915,0.075084224,0.06464327,-0.031334996,0.062465686,0.05375023,0.08784877,-0.10910839,-0.10435194,0.020724803,0.061705783,0.13042605,0.00048348377,0.057555385,0.01226389,-0.022996008,0.08134937,-0.06251547,0.0039204303,-0.025974784,-0.04219932,0.025557242,-0.032254666,-0.05413221,-0.009960247,0.0690467,-0.006974959,-0.0002137397,-0.01633063,0.06130474,-0.036523163,-0.025652984,0.023831682,0.1253807,-0.029470341,-0.0046321093,-0.07820093,0.023537187,0.0010581445
P100008,2,0.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009763974,-0.009413673,-0.008523686,0.011207448,-0.036516927,-0.019969836,0.09196858,0.084043935,-0.07045362,-0.0485378,0.011255406,-0.10446915,0.075084224,0.06464327,-0.031334996,0.062465686,0.05375023,0.08784877,-0.10910839,-0.10435194,0.020724803,0.061705783,0.13042605,0.00048348377,0.057555385,0.01226389,-0.022996008,0.08134937,-0.06251547,0.0039204303,-0.025974784,-0.04219932,0.025557242,-0.032254666,-0.05413221,-0.009960247,0.0690467,-0.006974959,-0.0002137397,-0.01633063,0.06130474,-0.036523163,-0.025652984,0.023831682,0.1253807,-0.029470341,-0.0046321093,-0.07820093,0.023537187,0.0010581445
P100009,1,0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036297396,-0.013696525,-0.034983356,0.011364899,-0.05811517,-0.07084751,0.1940088,0.20474063,-0.17437887,-0.13004412,0.030286904,-0.23914039,0.18565525,0.15337664,-0.07863147,0.12199968,0.15611012,0.1967549,-0.25168616,-0.23766913,0.08533305,0.13110742,0.320753,0.021192543,0.1071482,0.03749693,-0.04285342,0.21043727,-0.12597863,0.022623569,-0.037802704,-0.13039383,0.06050681,-0.08050929,-0.10468303,-0.0143810455,0.18192676,0.010061732,0.017128402,-0.009780627,0.17700286,-0.07244239,-0.04626535,0.039885562,0.29968926,-0.03940895,-0.010732388,-0.17281756,0.070224956,0.012900789
P100010,2,0.48355,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.036297396,-0.013696525,-0.034983356,0.011364899,-0.05811517,-0.07084751,0.1940088,0.20474063,-0.17437887,-0.13004412,0.030286904,-0.23914039,0.18565525,0.15337664,-0.07863147,0.12199968,0.15611012,0.1967549,-0.25168616,-0.23766913,0.08533305,0.13110742,0.320753,0.021192543,0.1071482,0.03749693,-0.04285342,0.21043727,-0.12597863,0.022623569,-0.037802704,-0.13039383,0.06050681,-0.08050929,-0.10468303,-0.0143810455,0.18192676,0.010061732,0.017128402,-0.009780627,0.17700286,-0.07244239,-0.04626535,0.039885562,0.29968926,-0.03940895,-0.010732388,-0.17281756,0.070224956,0.012900789
P100012,1,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.040296715,-0.026451314,-0.08432505,0.007300899,-0.10977519,-0.105064124,0.29989842,0.33646512,-0.28422084,-0.20494068,0.037316475,-0.38966483,0.32264003,0.2665647,-0.13530518,0.18195477,0.23431544,0.33875832,-0.40617415,-0.417511,0.15853958,0.20180878,0.49016786,0.0473587,0.18073462,0.03288283,-0.07881025,0.357983,-0.21018982,0.03598555,-0.06747348,-0.19631425,0.10083358,-0.10755033,-0.1692211,-0.051041357,0.3098411,0.056521717,0.055491623,-0.05332752,0.26673815,-0.129994,-0.08415959,0.053982638,0.48455524,-0.060645495,-0.024154529,-0.27853948,0.11942057,0.00647013
